mirror_id,x_down,y_right_cam,x,y,z,flat_to_flat,focal_length,phi,r,n_x,n_y,n_z,dist_oa
188,577.93,-924,-924,534.34,101.723,151,0,2.61729,1067.38,0.162094,-0.0937183,0.982315,1089.85
205,577.93,-770,-770,534.34,78.4303,151,0,2.53494,937.24,0.135593,-0.09413,0.986283,962.757
206,577.93,-616,-616,534.34,59.3728,151,0,2.42706,815.46,0.108842,-0.0944325,0.989564,844.663
203,577.93,-462,-462,534.34,44.5503,151,0,2.28372,706.373,0.0818576,-0.0946616,0.992138,739.895
200,577.93,-308,-308,534.34,33.9628,151,0,2.09369,616.752,0.0546604,-0.0948533,0.993989,654.877
201,577.93,-154,-154,534.34,27.6103,151,0,1.8514,556.089,0.0273473,-0.0949689,0.995105,598.094
189,577.93,0,0,534.34,25.4928,151,0,1.5708,534.34,-2.177e-06,-0.0949886,0.995478,577.928
186,577.93,154,154,534.34,27.6103,151,0,1.29019,556.089,-0.0273835,-0.0949688,0.995104,598.094
158,577.93,308,308,534.34,33.9628,151,0,1.0479,616.752,-0.0546784,-0.0948533,0.993989,654.877
196,577.93,462,462,534.34,44.5503,151,0,0.857877,706.373,-0.0818453,-0.0946617,0.992139,739.895
190,577.93,616,616,534.34,59.3728,151,0,0.714529,815.46,-0.108862,-0.0944323,0.989561,844.663
191,577.93,770,770,534.34,78.4303,151,0,0.606653,937.24,-0.135634,-0.0941294,0.986277,962.757
193,577.93,924,924,534.34,101.723,151,0,0.524303,1067.38,-0.16207,-0.0937187,0.982319,1089.85
2,711.3,-847,-847,667.71,103.861,151,0,2.47401,1078.54,0.148516,-0.117086,0.981954,1106.05
207,711.3,-693,-693,667.71,82.6862,151,0,2.37478,962.333,0.121928,-0.117546,0.985554,993.071
195,711.3,-539,-539,667.71,65.7462,151,0,2.24993,858.113,0.0951565,-0.117841,0.988463,892.447
194,711.3,-385,-385,667.71,53.0412,151,0,2.09383,770.754,0.0681068,-0.118122,0.990661,808.805
7,711.3,-231,-231,667.71,44.5712,151,0,1.90387,706.539,0.0409122,-0.118309,0.992134,747.865
4,711.3,-77,-77,667.71,40.3362,151,0,1.68561,672.135,0.0136326,-0.118403,0.992872,715.451
3,711.3,77,77,667.71,40.3362,151,0,1.45598,672.135,-0.0136713,-0.118403,0.992871,715.451
6,711.3,231,231,667.71,44.5712,151,0,1.23773,706.539,-0.0409387,-0.118309,0.992133,747.865
197,711.3,385,385,667.71,53.0412,151,0,1.04776,770.754,-0.0681091,-0.118122,0.990661,808.805
198,711.3,539,539,667.71,65.7462,151,0,0.891658,858.113,-0.0951229,-0.117842,0.988466,892.447
5,711.3,693,693,667.71,82.6862,151,0,0.766814,962.333,-0.121996,-0.117545,0.985546,993.071
18,711.3,847,847,667.71,103.861,151,0,0.66758,1078.54,-0.148525,-0.117086,0.981953,1106.05
8,844.66,-616,-616,801.07,91.1758,151,0,2.22633,1010.53,0.108261,-0.140765,0.984106,1045.42
9,844.66,-462,-462,801.07,76.3533,151,0,2.09393,924.747,0.0813859,-0.141148,0.986637,962.757
15,844.66,-308,-308,801.07,65.7658,151,0,1.93786,858.241,0.0543383,-0.141424,0.988457,899.066
13,844.66,-154,-154,801.07,59.4133,151,0,1.76072,815.738,0.0272146,-0.141552,0.989557,858.587
14,844.66,0,0,801.07,57.2958,151,0,1.5708,801.07,-1.19429e-06,-0.141608,0.989923,844.663
23,844.66,154,154,801.07,59.4133,151,0,1.38087,815.738,-0.027211,-0.141552,0.989557,858.587
11,844.66,308,308,801.07,65.7658,151,0,1.20374,858.241,-0.0543918,-0.141423,0.988454,899.066
12,844.66,462,462,801.07,76.3533,151,0,1.04766,924.747,-0.0814092,-0.141148,0.986636,962.757
20,844.66,616,616,801.07,91.1758,151,0,0.915264,1010.53,-0.108243,-0.140766,0.984108,1045.42
0,844.66,770,770,801.07,110.233,151,0,0.805172,1111.13,-0.134908,-0.14035,0.980868,0
0,844.66,-770,-770,801.07,110.233,151,0,2.33642,1111.13,0.134832,-0.140351,0.980878,0
10,978.03,-539,-539,934.44,103.902,151,0,2.09399,1078.75,0.0945132,-0.163851,0.981947,1116.72
16,978.03,-385,-385,934.44,91.1967,151,0,1.96161,1010.64,0.0676397,-0.164228,0.984101,1051.08
17,978.03,-231,-231,934.44,82.7267,151,0,1.81314,962.569,0.0406244,-0.164481,0.985543,1004.94
22,978.03,-77,-77,934.44,78.4917,151,0,1.65301,937.607,0.0135259,-0.164608,0.986266,981.058
24,978.03,77,77,934.44,78.4917,151,0,1.48858,937.607,-0.0135964,-0.164608,0.986265,981.058
29,978.03,231,231,934.44,82.7267,151,0,1.32845,962.569,-0.0406828,-0.164481,0.985541,1004.94
28,978.03,385,385,934.44,91.1967,151,0,1.17998,1010.64,-0.067674,-0.164228,0.984098,1051.08
21,978.03,539,539,934.44,103.902,151,0,1.0476,1078.75,-0.0945116,-0.163851,0.981947,1116.72
27,1111.4,-154,-154,1067.81,103.923,151,0,1.71403,1078.86,0.0269882,-0.187252,0.981941,1122.02
25,1111.4,0,0,1067.81,101.805,151,0,1.5708,1067.81,-1.81437e-05,-0.187323,0.982298,1111.4
30,1111.4,154,154,1067.81,103.923,151,0,1.42756,1078.86,-0.0270185,-0.187252,0.98194,1122.02
0,1111.4,308,308,1067.81,110.275,151,0,1.28998,1111.34,-0.053954,-0.187039,0.98087,0
0,1111.4,-308,-308,1067.81,110.275,151,0,1.85161,1111.34,0.0539417,-0.187039,0.98087,0
